RATE,CURRENCY,DATE
0,huf,1/1/2021
0.01,pkr,1/1/2021
0.27,qar,1/1/2021
0,tzs,1/1/2021
0.04,uah,1/1/2021
0,vnd,1/1/2021
0,crc,1/1/2021
0,kzt,1/1/2021
0,ngn,1/1/2021
0.62,bgn,1/1/2021
1.18,eur,3/1/2021
0.78,cad,3/1/2021
1.37,gbp,3/1/2021
0.76,aud,3/1/2021
0.01,jpy,3/1/2021
0.17,brl,3/1/2021
1.07,chf,3/1/2021
0.16,dkk,3/1/2021
0.01,rub,3/1/2021
0.26,pln,3/1/2021
0.12,sek,3/1/2021
0.04,twd,3/1/2021
0.3,ils,3/1/2021
0,krw,3/1/2021
0.05,mxn,3/1/2021
0.12,nok,3/1/2021
0.74,sgd,3/1/2021
0.13,try,3/1/2021
0.73,bnd,3/1/2021
0.01,inr,3/1/2021
0.24,myr,3/1/2021
0.27,sar,3/1/2021
0,clp,3/1/2021
0,cop,3/1/2021
0.7,nzd,3/1/2021
0.24,ron,3/1/2021
0.07,zar,3/1/2021
0.13,hkd,3/1/2021
0.02,php,3/1/2021
0.05,czk,3/1/2021
0.27,aed,3/1/2021
0.06,egp,3/1/2021
0,idr,3/1/2021
0,lbp,3/1/2021
0.27,pen,3/1/2021
0.03,thb,3/1/2021
0.15,cny,3/1/2021
0.16,hrk,3/1/2021
0,huf,3/1/2021
0.01,pkr,3/1/2021
0.27,qar,3/1/2021
0,tzs,3/1/2021
0.04,uah,3/1/2021
0,vnd,3/1/2021
0,crc,3/1/2021
0,kzt,3/1/2021
0,ngn,3/1/2021
